117.521: [GC [PSYoungGen: 174240K->32K(174464K)] 176517K->2309K(524032K), 0.0004594 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.956: [GC [PSYoungGen: 174240K->96K(174464K)] 176517K->2373K(524032K), 0.0004875 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
118.391: [GC [PSYoungGen: 174304K->64K(174464K)] 176581K->2341K(524032K), 0.0004495 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.820: [GC [PSYoungGen: 174272K->96K(174464K)] 176549K->2373K(524032K), 0.0004284 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.238: [GC [PSYoungGen: 174304K->0K(174400K)] 176581K->2277K(523968K), 0.0005498 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
119.658: [GC [PSYoungGen: 174208K->128K(174464K)] 176485K->2405K(524032K), 0.0005379 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
120.077: [GC [PSYoungGen: 174336K->32K(174464K)] 176613K->2309K(524032K), 0.0004623 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
120.815: [GC [PSYoungGen: 174240K->256K(174464K)] 176517K->2533K(524032K), 0.0006444 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
121.791: [GC [PSYoungGen: 174464K->256K(174336K)] 176741K->2581K(523904K), 0.0004485 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
122.768: [GC [PSYoungGen: 174336K->224K(174400K)] 176661K->2549K(523968K), 0.0004965 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.748: [GC [PSYoungGen: 174304K->256K(174272K)] 176629K->2581K(523840K), 0.0006743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.722: [GC [PSYoungGen: 174208K->256K(174336K)] 176533K->2581K(523904K), 0.0004006 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.701: [GC [PSYoungGen: 174208K->256K(174208K)] 176533K->2581K(523776K), 0.0003683 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.673: [GC [PSYoungGen: 174080K->256K(174272K)] 176405K->2581K(523840K), 0.0003671 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.175: [GC [PSYoungGen: 174080K->256K(174272K)] 176405K->2581K(523840K), 0.0005077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
129.459: [GC [PSYoungGen: 174080K->448K(174272K)] 176405K->3014K(523840K), 0.0007007 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
131.020: [GC [PSYoungGen: 174272K->64K(174016K)] 176838K->3022K(523584K), 0.0006970 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
132.627: [GC [PSYoungGen: 173632K->32K(174144K)] 176590K->2990K(523712K), 0.0004225 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
134.074: [GC [PSYoungGen: 173600K->160K(174144K)] 176558K->3118K(523712K), 0.0005274 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
Heap
 PSYoungGen      total 174144K, used 7479K [7f5560000, 800000000, 800000000)
  eden space 173568K, 4% used [7f5560000,7f5c85f70,7ffee0000)
  from space 576K, 27% used [7fff70000,7fff98000,800000000)
  to   space 576K, 0% used [7ffee0000,7ffee0000,7fff70000)
 PSOldGen        total 349568K, used 2958K [7e0000000, 7f5560000, 7f5560000)
  object space 349568K, 0% used [7e0000000,7e02e3a80,7f5560000)
 PSPermGen       total 21248K, used 6061K [7dae00000, 7dc2c0000, 7e0000000)
  object space 21248K, 28% used [7dae00000,7db3eb7f8,7dc2c0000)
