113.034: [GC [PSYoungGen: 174432K->64K(174528K)] 176617K->2249K(524096K), 0.0006580 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.236: [GC [PSYoungGen: 174400K->96K(174528K)] 176585K->2281K(524096K), 0.0004743 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.650: [GC [PSYoungGen: 174432K->32K(174528K)] 176617K->2217K(524096K), 0.0004330 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.028: [GC [PSYoungGen: 174368K->128K(174528K)] 176553K->2313K(524096K), 0.0005111 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.376: [GC [PSYoungGen: 174464K->96K(174528K)] 176649K->2281K(524096K), 0.0004109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.746: [GC [PSYoungGen: 174432K->32K(174528K)] 176617K->2217K(524096K), 0.0004412 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
117.115: [GC [PSYoungGen: 174368K->160K(174528K)] 176553K->2345K(524096K), 0.0004133 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
117.457: [GC [PSYoungGen: 174496K->128K(174400K)] 176681K->2313K(523968K), 0.0005046 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.817: [GC [PSYoungGen: 174335K->64K(174464K)] 176521K->2249K(524032K), 0.0004233 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.161: [GC [PSYoungGen: 174272K->96K(174528K)] 176457K->2281K(524096K), 0.0005013 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.503: [GC [PSYoungGen: 174432K->96K(174528K)] 176617K->2281K(524096K), 0.0004698 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.869: [GC [PSYoungGen: 174432K->32K(174528K)] 176617K->2217K(524096K), 0.0005068 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
119.223: [GC [PSYoungGen: 174368K->64K(174528K)] 176553K->2249K(524096K), 0.0004328 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.565: [GC [PSYoungGen: 174400K->96K(174528K)] 176585K->2281K(524096K), 0.0004689 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.910: [GC [PSYoungGen: 174432K->128K(174528K)] 176617K->2313K(524096K), 0.0004806 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
120.270: [GC [PSYoungGen: 174464K->192K(174400K)] 176649K->2393K(523968K), 0.0004722 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
120.651: [GC [PSYoungGen: 174400K->32K(174464K)] 176601K->2297K(524032K), 0.0004819 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
