55.212: [GC [PSYoungGen: 672960K->4608K(673088K)] 706502K->38470K(2071232K), 0.0112621 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
57.226: [GC [PSYoungGen: 673024K->4752K(682752K)] 706886K->39079K(2080896K), 0.0114178 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
58.744: [GC [PSYoungGen: 671744K->4576K(671616K)] 706071K->39463K(2069760K), 0.0115707 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
60.843: [GC [PSYoungGen: 671553K->4336K(682752K)] 706440K->39623K(2080896K), 0.0111533 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
62.328: [GC [PSYoungGen: 670960K->4768K(682816K)] 706247K->40207K(2080960K), 0.0117398 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
63.876: [GC [PSYoungGen: 671392K->4672K(683200K)] 706831K->40679K(2081344K), 0.0112719 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
65.436: [GC [PSYoungGen: 671853K->4784K(683008K)] 707861K->41344K(2081152K), 0.0114470 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
67.028: [GC [PSYoungGen: 671984K->4688K(683904K)] 708544K->41816K(2082048K), 0.0118101 secs] [Times: user=0.02 sys=0.01, real=0.02 secs] 
68.497: [GC [PSYoungGen: 673082K->4928K(683520K)] 710210K->42617K(2081664K), 0.0128447 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
70.013: [GC [PSYoungGen: 673344K->4480K(684672K)] 711033K->42873K(2082816K), 0.0117245 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
71.486: [GC [PSYoungGen: 674400K->4560K(684288K)] 712793K->43201K(2082432K), 0.0121759 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
72.968: [GC [PSYoungGen: 674512K->4432K(685504K)] 713153K->43497K(2083648K), 0.0111639 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
74.528: [GC [PSYoungGen: 675977K->4848K(685056K)] 715043K->44121K(2083200K), 0.0112133 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
76.012: [GC [PSYoungGen: 676400K->5040K(686464K)] 715673K->44810K(2084608K), 0.0111018 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
77.476: [GC [PSYoungGen: 678448K->4832K(685952K)] 718218K->45354K(2084096K), 0.0132585 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
78.974: [GC [PSYoungGen: 678240K->4400K(687296K)] 718762K->45586K(2085440K), 0.0112161 secs] [Times: user=0.02 sys=0.01, real=0.01 secs] 
80.474: [GC [PSYoungGen: 679600K->4944K(686912K)] 720786K->46331K(2085056K), 0.0117254 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
81.962: [GC [PSYoungGen: 680144K->4960K(688192K)] 721531K->47043K(2086336K), 0.0115998 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
