111.877: [GC [PSYoungGen: 174302K->64K(174464K)] 176520K->2281K(524032K), 0.0004794 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
112.166: [GC [PSYoungGen: 174272K->32K(174464K)] 176489K->2249K(524032K), 0.0005388 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.457: [GC [PSYoungGen: 174240K->64K(174464K)] 176457K->2281K(524032K), 0.0004520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
112.751: [GC [PSYoungGen: 174272K->64K(174464K)] 176489K->2281K(524032K), 0.0005052 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
113.055: [GC [PSYoungGen: 174272K->128K(174528K)] 176489K->2345K(524096K), 0.0004765 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
113.360: [GC [PSYoungGen: 174464K->96K(174528K)] 176681K->2313K(524096K), 0.0004548 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
113.664: [GC [PSYoungGen: 174432K->160K(174400K)] 176649K->2377K(523968K), 0.0005099 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.023: [GC [PSYoungGen: 174368K->256K(174464K)] 176585K->2473K(524032K), 0.0005295 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
114.404: [GC [PSYoungGen: 174464K->0K(174464K)] 176681K->2281K(524032K), 0.0004589 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
114.781: [GC [PSYoungGen: 174208K->64K(174464K)] 176489K->2345K(524032K), 0.0004429 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
115.170: [GC [PSYoungGen: 174272K->0K(174464K)] 176553K->2281K(524032K), 0.0004686 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.551: [GC [PSYoungGen: 174208K->0K(174464K)] 176489K->2281K(524032K), 0.0005387 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
115.941: [GC [PSYoungGen: 174208K->32K(174464K)] 176489K->2313K(524032K), 0.0005413 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.327: [GC [PSYoungGen: 174240K->0K(174464K)] 176521K->2281K(524032K), 0.0004360 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
116.715: [GC [PSYoungGen: 174208K->32K(174464K)] 176489K->2313K(524032K), 0.0004404 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.089: [GC [PSYoungGen: 174240K->32K(174464K)] 176521K->2313K(524032K), 0.0004818 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.472: [GC [PSYoungGen: 174240K->64K(174464K)] 176521K->2345K(524032K), 0.0006749 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
117.859: [GC [PSYoungGen: 174272K->32K(174464K)] 176553K->2313K(524032K), 0.0005027 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.237: [GC [PSYoungGen: 174240K->32K(174528K)] 176521K->2313K(524096K), 0.0004755 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.611: [GC [PSYoungGen: 174368K->64K(174528K)] 176649K->2345K(524096K), 0.0004898 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
118.987: [GC [PSYoungGen: 174400K->32K(174528K)] 176681K->2313K(524096K), 0.0005340 secs] [Times: user=0.01 sys=0.01, real=0.00 secs] 
119.360: [GC [PSYoungGen: 174368K->64K(174528K)] 176649K->2345K(524096K), 0.0004725 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
119.744: [GC [PSYoungGen: 174400K->96K(174528K)] 176681K->2377K(524096K), 0.0004948 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
120.132: [GC [PSYoungGen: 174432K->32K(174528K)] 176713K->2313K(524096K), 0.0004988 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
120.508: [GC [PSYoungGen: 174368K->64K(174528K)] 176649K->2345K(524096K), 0.0004809 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
120.888: [GC [PSYoungGen: 174400K->0K(174528K)] 176681K->2281K(524096K), 0.0004743 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
121.277: [GC [PSYoungGen: 174336K->0K(174528K)] 176617K->2281K(524096K), 0.0005102 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
121.660: [GC [PSYoungGen: 174336K->32K(174528K)] 176617K->2313K(524096K), 0.0005038 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
122.048: [GC [PSYoungGen: 174368K->32K(174528K)] 176649K->2313K(524096K), 0.0004742 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
122.429: [GC [PSYoungGen: 174368K->64K(174528K)] 176649K->2345K(524096K), 0.0004839 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
123.578: [GC [PSYoungGen: 174400K->192K(174528K)] 176681K->2489K(524096K), 0.0004521 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
123.885: [GC [PSYoungGen: 174526K->128K(174464K)] 176823K->2489K(524032K), 0.0004992 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.192: [GC [PSYoungGen: 174464K->64K(174528K)] 176825K->2425K(524096K), 0.0004929 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.513: [GC [PSYoungGen: 174336K->32K(174464K)] 176697K->2393K(524032K), 0.0005095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
124.820: [GC [PSYoungGen: 174304K->32K(174528K)] 176665K->2393K(524096K), 0.0005678 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.134: [GC [PSYoungGen: 174366K->96K(174528K)] 176728K->2457K(524096K), 0.0004333 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.445: [GC [PSYoungGen: 174432K->96K(174528K)] 176793K->2457K(524096K), 0.0004960 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
125.767: [GC [PSYoungGen: 174432K->160K(174528K)] 176793K->2521K(524096K), 0.0004983 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.080: [GC [PSYoungGen: 174496K->32K(174400K)] 176857K->2393K(523968K), 0.0004273 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
126.393: [GC [PSYoungGen: 174240K->32K(174464K)] 176601K->2393K(524032K), 0.0005450 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
126.686: [GC [PSYoungGen: 174240K->32K(174528K)] 176601K->2393K(524096K), 0.0004897 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
126.992: [GC [PSYoungGen: 174368K->32K(174528K)] 176729K->2393K(524096K), 0.0004609 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.308: [GC [PSYoungGen: 174368K->64K(174528K)] 176729K->2425K(524096K), 0.0005535 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
127.616: [GC [PSYoungGen: 174399K->32K(174528K)] 176761K->2393K(524096K), 0.0004768 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
127.939: [GC [PSYoungGen: 174368K->32K(174528K)] 176729K->2393K(524096K), 0.0004883 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.237: [GC [PSYoungGen: 174368K->32K(174528K)] 176729K->2393K(524096K), 0.0005603 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.539: [GC [PSYoungGen: 174368K->64K(174528K)] 176729K->2425K(524096K), 0.0005726 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
128.845: [GC [PSYoungGen: 174400K->96K(174528K)] 176761K->2457K(524096K), 0.0004623 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
